formatted_date,high,low,open,close,volume,adjclose
2022-07-12,20043.4453125,19308.53125,19970.474609375,19323.9140625,25810220018,19323.9140625
2022-07-13,20223.052734375,18999.953125,19325.97265625,20212.07421875,33042430345,20212.07421875
2022-07-14,20789.89453125,19689.2578125,20211.466796875,20569.919921875,31158743333,20569.919921875
2022-07-15,21138.244140625,20397.0,20573.15625,20836.328125,25905575359,20836.328125
2022-07-16,21514.404296875,20518.8984375,20834.103515625,21190.31640625,24302954056,21190.31640625
2022-07-17,21600.640625,20778.1796875,21195.041015625,20779.34375,22927802083,20779.34375
2022-07-18,22633.033203125,20781.912109375,20781.912109375,22485.689453125,39974475562,22485.689453125
2022-07-19,23666.962890625,21683.40625,22467.849609375,23389.43359375,48765202697,23389.43359375
2022-07-20,24196.818359375,23009.94921875,23393.19140625,23231.732421875,42932549127,23231.732421875
2022-07-21,23388.322265625,22431.1484375,23233.201171875,23164.62890625,33631012204,23164.62890625
2022-07-22,23671.927734375,22603.416015625,23163.751953125,22714.978515625,31421555646,22714.978515625
2022-07-23,22977.2109375,22002.91015625,22706.984375,22465.478515625,24021799169,22465.478515625
2022-07-24,22974.001953125,22306.83984375,22465.509765625,22609.1640625,23565495303,22609.1640625
2022-07-25,22649.12109375,21361.642578125,22607.15625,21361.701171875,35574561406,21361.701171875
2022-07-26,21361.12109375,20776.81640625,21361.12109375,21239.75390625,28624673855,21239.75390625
2022-07-27,22986.529296875,21070.806640625,21244.169921875,22930.548828125,31758955233,22930.548828125
2022-07-28,24110.470703125,22722.265625,22933.640625,23843.88671875,40212386158,23843.88671875
2022-07-29,24294.787109375,23481.173828125,23845.212890625,23804.6328125,35887249746,23804.6328125
2022-07-30,24572.580078125,23580.5078125,23796.818359375,23656.20703125,28148218301,23656.20703125
2022-07-31,24121.642578125,23275.703125,23652.0703125,23336.896484375,23553591896,23336.896484375
2022-08-01,23464.787109375,22890.796875,23336.71875,23314.19921875,25849159141,23314.19921875
2022-08-02,23415.041015625,22710.083984375,23308.43359375,22978.1171875,28389250717,22978.1171875
2022-08-03,23578.650390625,22747.8359375,22981.302734375,22846.5078125,26288169966,22846.5078125
2022-08-04,23198.009765625,22485.701171875,22848.21484375,22630.95703125,25120229769,22630.95703125
2022-08-05,23422.828125,22612.177734375,22626.833984375,23289.314453125,28881249043,23289.314453125
2022-08-06,23326.5625,22961.279296875,23291.423828125,22961.279296875,15978259885,22961.279296875
2022-08-07,23359.009765625,22894.556640625,22963.505859375,23175.890625,15886817043,23175.890625
2022-08-08,24203.689453125,23176.546875,23179.52734375,23809.486328125,28575544847,23809.486328125
2022-08-09,23898.615234375,22982.0,23811.484375,23164.318359375,23555719219,23164.318359375
2022-08-10,24127.4140625,22771.51953125,23162.8984375,23947.642578125,32837431722,23947.642578125
2022-08-11,24822.62890625,23900.99609375,23948.345703125,23957.529296875,37127036580,23957.529296875
2022-08-12,24412.56640625,23657.265625,23957.203125,24402.818359375,27265804688,24402.818359375
2022-08-13,24860.05078125,24346.115234375,24402.1875,24424.068359375,22987346289,24424.068359375
2022-08-14,24974.9140625,24206.259765625,24429.056640625,24319.333984375,22994133555,24319.333984375
2022-08-15,25135.58984375,23839.775390625,24318.31640625,24136.97265625,35123501685,24136.97265625
2022-08-16,24228.416015625,23733.5,24126.13671875,23883.291015625,27753685646,23883.291015625
2022-08-17,24407.05859375,23243.353515625,23881.31640625,23335.998046875,30931623076,23335.998046875
2022-08-18,23563.83203125,23177.6015625,23341.0390625,23212.73828125,23747613147,23212.73828125
2022-08-19,23213.3125,20868.84765625,23213.3125,20877.552734375,40509610260,20877.552734375
2022-08-20,21350.806640625,20856.73046875,20872.841796875,21166.060546875,27595671000,21166.060546875
2022-08-21,21668.845703125,21103.197265625,21160.392578125,21534.12109375,23102307723,21534.12109375
2022-08-22,21531.462890625,20939.18359375,21531.462890625,21398.908203125,31666498758,21398.908203125
2022-08-23,21646.203125,20955.138671875,21401.044921875,21528.087890625,31878280659,21528.087890625
2022-08-24,21783.076171875,21195.005859375,21526.455078125,21395.01953125,31962253368,21395.01953125
2022-08-25,21789.63671875,21362.44140625,21395.458984375,21600.904296875,31028679593,21600.904296875
2022-08-26,21804.908203125,20199.482421875,21596.0859375,20260.01953125,42326789564,20260.01953125
2022-08-27,20340.775390625,19890.5234375,20262.48046875,20041.73828125,30116729776,20041.73828125
2022-08-28,20139.0546875,19616.814453125,20041.03515625,19616.814453125,24366810591,19616.814453125
2022-08-29,20357.462890625,19600.78515625,19615.154296875,20297.994140625,32637854078,20297.994140625
